id,longsor,jenis_tanah,batuan,hadap_lereng,jarak_sungai,lereng,penutup_lahan,pga,jarak_struktur,jarak_jalan,elevasi
154,0,1.00000,5.00000,1.00000,2.00000,1.00000,4.00000,2.00000,4.00000,4.00000,1.00000
155,0,1.00000,5.00000,5.00000,2.00000,1.00000,4.00000,2.00000,1.00000,1.00000,1.00000
156,0,1.00000,5.00000,4.00000,1.00000,1.00000,4.00000,2.00000,1.00000,3.00000,1.00000
157,0,2.00000,5.00000,5.00000,2.00000,1.00000,8.00000,2.00000,1.00000,1.00000,1.00000
158,0,2.00000,5.00000,5.00000,3.00000,1.00000,7.00000,2.00000,1.00000,2.00000,1.00000
159,0,2.00000,5.00000,1.00000,1.00000,1.00000,8.00000,2.00000,1.00000,1.00000,1.00000
160,0,2.00000,2.00000,1.00000,2.00000,1.00000,8.00000,2.00000,2.00000,3.00000,1.00000
161,0,2.00000,2.00000,1.00000,1.00000,1.00000,8.00000,2.00000,1.00000,1.00000,1.00000
162,0,2.00000,2.00000,1.00000,1.00000,1.00000,8.00000,2.00000,1.00000,1.00000,1.00000
163,0,2.00000,2.00000,1.00000,2.00000,1.00000,8.00000,2.00000,1.00000,2.00000,1.00000
164,0,5.00000,14.00000,2.00000,1.00000,1.00000,8.00000,4.00000,1.00000,3.00000,4.00000
165,0,4.00000,11.00000,4.00000,1.00000,1.00000,8.00000,3.00000,4.00000,3.00000,2.00000
166,0,4.00000,11.00000,5.00000,1.00000,1.00000,7.00000,3.00000,3.00000,3.00000,2.00000
167,0,4.00000,11.00000,4.00000,1.00000,1.00000,4.00000,2.00000,3.00000,5.00000,2.00000
168,0,4.00000,11.00000,1.00000,1.00000,2.00000,4.00000,2.00000,4.00000,5.00000,2.00000
169,0,4.00000,11.00000,1.00000,1.00000,2.00000,11.00000,2.00000,1.00000,5.00000,2.00000
170,0,4.00000,11.00000,5.00000,2.00000,1.00000,8.00000,2.00000,3.00000,5.00000,1.00000
171,0,2.00000,11.00000,1.00000,1.00000,1.00000,8.00000,3.00000,3.00000,3.00000,1.00000
172,0,1.00000,11.00000,4.00000,3.00000,1.00000,4.00000,2.00000,3.00000,3.00000,1.00000
173,0,2.00000,16.00000,2.00000,3.00000,1.00000,4.00000,2.00000,5.00000,4.00000,1.00000
174,0,2.00000,2.00000,1.00000,2.00000,1.00000,4.00000,2.00000,2.00000,4.00000,1.00000
175,0,2.00000,2.00000,1.00000,1.00000,1.00000,8.00000,2.00000,5.00000,3.00000,1.00000
176,0,2.00000,2.00000,1.00000,2.00000,1.00000,8.00000,2.00000,1.00000,4.00000,1.00000
177,0,10.00000,2.00000,1.00000,1.00000,1.00000,8.00000,2.00000,2.00000,1.00000,1.00000
178,0,11.00000,16.00000,5.00000,1.00000,2.00000,4.00000,2.00000,1.00000,5.00000,1.00000
179,0,11.00000,16.00000,2.00000,1.00000,1.00000,4.00000,2.00000,1.00000,3.00000,1.00000
180,0,2.00000,2.00000,1.00000,1.00000,1.00000,8.00000,2.00000,1.00000,1.00000,1.00000
181,0,10.00000,2.00000,1.00000,1.00000,1.00000,8.00000,2.00000,1.00000,1.00000,1.00000
182,0,10.00000,2.00000,1.00000,3.00000,1.00000,8.00000,2.00000,5.00000,1.00000,1.00000
183,0,2.00000,2.00000,1.00000,3.00000,1.00000,9.00000,1.00000,1.00000,2.00000,1.00000
184,0,10.00000,2.00000,1.00000,2.00000,1.00000,8.00000,1.00000,1.00000,1.00000,1.00000
185,0,10.00000,2.00000,5.00000,1.00000,1.00000,8.00000,1.00000,1.00000,1.00000,1.00000
186,0,10.00000,2.00000,1.00000,2.00000,1.00000,8.00000,1.00000,1.00000,1.00000,1.00000
187,0,2.00000,2.00000,5.00000,2.00000,1.00000,8.00000,1.00000,1.00000,2.00000,1.00000
188,0,2.00000,2.00000,1.00000,1.00000,1.00000,8.00000,1.00000,1.00000,1.00000,1.00000
189,0,2.00000,2.00000,1.00000,2.00000,1.00000,8.00000,1.00000,1.00000,1.00000,1.00000
